date,ahr999,价格,拟合价格,200日定投成本,日期
1367174841.0,2.9238,135.3,46.274,135.3,2013-04-29 02:47:21
1367261101.0,3.1307,141.96,46.4456,138.58,2013-04-30 02:45:01
1367347502.0,2.8562,135.3,46.6177,137.48,2013-05-01 02:45:02
1367433902.0,2.2155,117.0,46.7904,132.04,2013-05-02 02:45:02
1367522401.0,1.8113,103.43,46.9636,125.75,2013-05-03 03:20:01
1367608801.0,1.4746,91.01,47.1374,119.15,2013-05-04 03:20:01
1367695201.0,2.217,111.25,47.3116,117.99,2013-05-05 03:20:01
1367781901.0,2.4374,116.79,47.4865,117.84,2013-05-06 03:25:01
1367868303.0,2.4918,118.33,47.6618,117.89,2013-05-07 03:25:03
1367954701.0,2.028,106.4,47.8377,116.69,2013-05-08 03:25:01
1368041101.0,2.2717,112.64,48.0141,116.31,2013-05-09 03:25:01
1368129001.0,2.2834,113.0,48.1911,116.03,2013-05-10 03:50:01
1368215702.0,2.5092,118.78,48.3686,116.24,2013-05-11 03:55:02
1368303901.0,2.2676,113.01,48.5466,116.01,2013-05-12 04:25:01
1368390301.0,2.3295,114.71,48.7252,115.92,2013-05-13 04:25:01
1368476701.0,2.4204,117.18,48.9043,116.0,2013-05-14 04:25:01
1368563101.0,2.3042,114.5,49.084,115.91,2013-05-15 04:25:01
1368650101.0,2.2837,114.15,49.2642,115.81,2013-05-16 04:35:01
1368736501.0,2.3299,115.5,49.445,115.79,2013-05-17 04:35:01
1368822901.0,2.6288,123.1,49.6263,116.15,2013-05-18 04:35:01
1368909301.0,2.6444,123.88,49.8081,116.51,2013-05-19 04:35:01
1368995702.0,2.4891,120.5,49.9906,116.68,2013-05-20 04:35:02
1369082102.0,2.5609,122.58,50.1735,116.93,2013-05-21 04:35:02
1369168502.0,2.5596,122.9,50.357,117.18,2013-05-22 04:35:02
1369254904.0,2.5495,123.0,50.5411,117.4,2013-05-23 04:35:04
1369341302.0,2.6477,125.74,50.7258,117.71,2013-05-24 04:35:02
1369427701.0,2.8821,131.7,50.911,118.2,2013-05-25 04:35:01
1369514102.0,2.821,130.77,51.0967,118.63,2013-05-26 04:35:02
1369601102.0,2.9648,134.6,51.283,119.15,2013-05-27 04:45:02
1369687501.0,2.7054,128.98,51.4699,119.46,2013-05-28 04:45:01
1369773907.0,2.6967,129.17,51.6574,119.77,2013-05-29 04:45:07
1369862101.0,2.8029,132.13,51.8454,120.13,2013-05-30 05:15:01
1369948501.0,2.5917,127.4,52.034,120.35,2013-05-31 05:15:01
1370036402.0,2.6012,127.98,52.2231,120.56,2013-06-01 05:40:02
1370122802.0,2.6318,129.09,52.4128,120.8,2013-06-02 05:40:02
1370215501.0,2.3151,121.3,52.6031,120.81,2013-06-03 07:25:01
1370301902.0,2.3012,121.16,52.794,120.82,2013-06-04 07:25:02
1370393102.0,2.298,121.3,52.9854,120.84,2013-06-05 08:45:02
1370479502.0,2.3047,121.71,53.1774,120.86,2013-06-06 08:45:02
1370565901.0,2.1962,119.0,53.37,120.81,2013-06-07 08:45:01
1370652302.0,1.8771,110.09,53.5632,120.54,2013-06-08 08:45:02
1370738701.0,1.8179,108.4,53.7569,120.23,2013-06-09 08:45:01
1370825102.0,1.5405,99.7497,53.9512,119.71,2013-06-10 08:45:02
1370912105.0,1.7378,105.99,54.1461,119.38,2013-06-11 08:55:05
1370998802.0,1.8317,108.9,54.3416,119.14,2013-06-12 09:00:02
1371085201.0,1.8121,108.4,54.5377,118.89,2013-06-13 09:00:01
1371171602.0,1.6276,102.76,54.7343,118.52,2013-06-14 09:00:02
1371258301.0,1.4928,98.399,54.9316,118.07,2013-06-15 09:05:01
1371344702.0,1.5412,99.99,55.1294,117.67,2013-06-16 09:05:02
1371431702.0,1.5538,100.42,55.3278,117.29,2013-06-17 09:15:02
1371518404.0,1.6017,102.0,55.5268,116.97,2013-06-18 09:20:04
1371605102.0,1.7447,106.55,55.7264,116.76,2013-06-19 09:25:02
1371691510.0,1.7854,107.9,55.9266,116.59,2013-06-20 09:25:10
1371778202.0,1.8814,110.91,56.1274,116.48,2013-06-21 09:30:02
1371864601.0,1.8132,109.01,56.3288,116.34,2013-06-22 09:30:01
1371951002.0,1.7514,107.25,56.5308,116.17,2013-06-23 09:30:02
1372037402.0,1.7719,108.0,56.7334,116.02,2013-06-24 09:30:02
1372123803.0,1.5919,102.44,56.9366,115.77,2013-06-25 09:30:03
1372210502.0,1.6282,103.69,57.1404,115.56,2013-06-26 09:35:02
1372297801.0,1.616,103.39,57.3448,115.34,2013-06-27 09:50:01
1372384201.0,1.4997,99.66,57.5498,115.07,2013-06-28 09:50:01
1372470601.0,1.315,93.3311,57.7554,114.68,2013-06-29 09:50:01
1372557602.0,1.3728,95.3886,57.9616,114.34,2013-06-30 10:00:02
1372644001.0,1.4328,97.504,58.1685,114.06,2013-07-01 10:00:01
1372730404.0,1.2071,89.489,58.3759,113.63,2013-07-02 10:00:04
1372816801.0,1.2425,90.797,58.584,113.25,2013-07-03 10:00:01
1372906202.0,0.9376,78.8,58.7926,112.64,2013-07-04 10:50:02
1372992361.0,0.9316,78.48,59.0019,112.04,2013-07-05 10:46:01
1373078762.0,0.6981,67.809,59.2118,111.23,2013-07-06 10:46:02
1373165161.0,0.7062,68.0831,59.4224,110.45,2013-07-07 10:46:01
1373251562.0,0.9164,77.502,59.6335,109.9,2013-07-08 10:46:02
1373337962.0,0.8917,76.3915,59.8453,109.35,2013-07-09 10:46:02
1373424362.0,0.9071,77.0,60.0576,108.82,2013-07-10 10:46:02
1373511661.0,1.1246,85.75,60.2706,108.47,2013-07-11 11:01:01
1373598061.0,1.3436,93.804,60.4843,108.26,2013-07-12 11:01:01
