time,open,high,low,close,vol,date
1635984000000,53.35,55.09,52.16,53.82,14091354.818,2021-11-04
1636070400000,53.83,53.93,50.56,51.76,8742278.8,2021-11-05
1636156800000,51.75,52.42,49.0,52.02,8114011.78,2021-11-06
1636243200000,52.03,53.53,51.29,52.22,7102199.25,2021-11-07
1636329600000,52.22,53.87,51.63,53.36,7797418.81,2021-11-08
1636416000000,53.36,53.39,50.52,50.78,10322506.13,2021-11-09
1636502400000,50.79,52.08,42.5,46.74,19625912.74,2021-11-10
1636588800000,46.74,49.44,45.55,47.44,9323684.55,2021-11-11
1636675200000,47.44,47.72,44.04,45.9,10700975.88,2021-11-12
1636761600000,45.9,47.55,44.86,47.07,6068714.1,2021-11-13
1636848000000,47.07,47.83,45.02,46.39,4667465.13,2021-11-14
1636934400000,46.39,47.46,44.5,44.77,6580865.03,2021-11-15
1637020800000,44.78,44.78,38.1,40.84,19699792.9,2021-11-16
1637107200000,40.84,42.78,38.76,42.75,11336082.44,2021-11-17
1637193600000,42.75,43.27,37.53,39.03,14653376.83,2021-11-18
1637280000000,39.03,42.28,38.36,41.24,8936329.85,2021-11-19
1637366400000,41.23,42.1,39.83,42.1,5821401.36,2021-11-20
1637452800000,42.09,43.56,40.64,41.94,6646315.92,2021-11-21
1637539200000,41.95,42.16,38.8,39.49,8474290.45,2021-11-22
1637625600000,39.48,41.47,38.54,40.78,6985881.02,2021-11-23
1637712000000,40.76,40.92,38.04,38.28,7264687.01,2021-11-24
1637798400000,38.27,40.93,38.04,39.47,7371944.97,2021-11-25
1637884800000,39.48,39.62,33.67,34.56,16596267.73,2021-11-26
1637971200000,34.55,36.12,34.43,35.16,6817533.23,2021-11-27
1638057600000,35.16,35.85,32.21,35.76,10439305.23,2021-11-28
1638144000000,35.75,37.53,35.4,37.1,7442054.72,2021-11-29
1638230400000,37.1,39.35,35.28,37.95,9758902.6,2021-11-30
1638316800000,37.96,38.78,36.22,36.76,6936636.91,2021-12-01
1638403200000,36.76,36.79,35.05,35.75,5653240.06,2021-12-02
1638489600000,35.76,36.84,32.56,33.7,9114532.42,2021-12-03
1638576000000,33.7,33.86,24.35,29.38,24608037.9,2021-12-04
1638662400000,29.38,29.74,26.33,28.31,11536652.53,2021-12-05
1638748800000,28.31,28.92,24.84,28.13,16137260.41,2021-12-06
1638835200000,28.12,31.49,27.69,30.5,13072414.91,2021-12-07
1638921600000,30.49,30.63,28.02,29.84,10373073.12,2021-12-08
1639008000000,29.85,30.13,26.8,26.9,9383772.0,2021-12-09
1639094400000,26.91,28.43,25.71,26.44,11306697.95,2021-12-10
1639180800000,26.44,28.18,25.81,27.81,8148503.07,2021-12-11
1639267200000,27.82,30.12,27.31,29.54,5833358.42,2021-12-12
1639353600000,29.54,29.87,25.54,25.96,10566935.28,2021-12-13
1639440000000,25.97,26.71,25.0,26.15,10443455.71,2021-12-14
1639526400000,26.14,28.03,24.27,27.14,13450685.93,2021-12-15
1639612800000,27.14,27.84,25.55,26.02,14427194.9,2021-12-16
1639699200000,26.02,26.21,24.16,24.64,10403388.65,2021-12-17
1639785600000,24.64,25.72,24.21,25.49,7437623.45,2021-12-18
1639872000000,25.48,25.86,24.63,24.78,5757699.98,2021-12-19
1639958400000,24.78,25.01,23.27,24.07,7053641.28,2021-12-20
1640044800000,24.07,25.59,23.74,25.16,7752931.61,2021-12-21
1640131200000,25.16,28.23,24.98,27.22,10788179.43,2021-12-22
1640217600000,27.23,29.81,26.73,29.16,10938539.93,2021-12-23
1640304000000,29.16,29.67,27.83,28.14,6454013.86,2021-12-24
1640390400000,28.14,29.12,27.94,28.84,3990671.82,2021-12-25
1640476800000,28.86,31.74,28.27,31.32,9409786.98,2021-12-26
1640563200000,31.32,32.78,30.83,30.97,8620339.37,2021-12-27
1640649600000,30.96,30.97,27.46,27.83,15826935.59,2021-12-28
1640736000000,27.84,28.96,26.48,26.82,9578005.6,2021-12-29
1640822400000,26.81,28.42,26.17,27.54,7797319.16,2021-12-30
1640908800000,27.54,28.12,26.24,26.66,9510787.97,2021-12-31
1640995200000,26.67,28.65,26.66,28.6,5227230.45,2022-01-01
1641081600000,28.6,30.62,27.82,29.69,8942930.92,2022-01-02
1641168000000,29.69,30.88,28.62,30.11,11890491.01,2022-01-03
1641254400000,30.1,30.58,28.66,28.69,11149885.08,2022-01-04
1641340800000,28.69,30.39,25.05,26.72,14135011.01,2022-01-05
1641427200000,26.73,27.36,25.5,26.72,11412775.24,2022-01-06
1641513600000,26.72,26.86,24.24,24.9,14333874.43,2022-01-07
1641600000000,24.9,25.54,23.12,23.99,9965873.23,2022-01-08
1641686400000,23.98,25.32,23.67,24.63,7523995.26,2022-01-09
1641772800000,24.63,25.22,22.43,23.72,11667129.55,2022-01-10
1641859200000,23.73,26.0,23.48,25.56,9473674.68,2022-01-11
1641945600000,25.56,27.58,25.45,27.32,7566219.5,2022-01-12
1642032000000,27.33,27.68,25.71,25.79,7656681.93,2022-01-13
1642118400000,25.79,27.88,25.53,27.75,9449831.9,2022-01-14
1642204800000,27.75,28.41,26.83,27.6,5575781.94,2022-01-15
1642291200000,27.6,28.47,27.26,27.7,7073389.72,2022-01-16
1642377600000,27.7,27.76,25.1,25.69,8233269.46,2022-01-17
1642464000000,25.69,26.07,24.24,25.15,7145666.21,2022-01-18
1642550400000,25.15,25.3,23.68,24.05,6462252.41,2022-01-19
1642636800000,24.06,25.62,22.84,23.01,6578668.82,2022-01-20
1642723200000,23.01,23.48,19.04,19.67,17269209.912,2022-01-21
1642809600000,19.66,20.16,16.17,18.27,23239217.068,2022-01-22
1642896000000,18.27,19.2,17.73,18.81,11483380.21,2022-01-23
1642982400000,18.81,18.82,15.83,18.02,20381626.573,2022-01-24
1643068800000,18.02,19.05,17.36,18.31,9945213.12,2022-01-25
1643155200000,18.32,20.06,17.51,18.08,14459131.31,2022-01-26
1643241600000,18.08,18.42,17.14,18.12,9271719.1,2022-01-27
1643328000000,18.12,18.49,17.36,18.34,7390664.94,2022-01-28
1643414400000,18.34,19.06,18.08,18.74,4892745.7,2022-01-29
1643500800000,18.75,19.0,17.8,18.15,5074979.97,2022-01-30
1643587200000,18.15,19.61,17.12,19.37,8316149.9,2022-01-31
1643673600000,19.38,20.0,19.15,19.57,8041127.34,2022-02-01
