,time,open,high,low,close,vol,date
0,1621555200000,163.92,186.91,120.0,145.88,2026467.63,2021-05-21
1,1621641600000,145.87,169.53,124.76,146.23,1206414.61,2021-05-22
2,1621728000000,145.92,165.59,120.62,143.94,1455176.26,2021-05-23
3,1621814400000,143.97,163.6,135.5,147.67,1260806.93,2021-05-24
4,1621900800000,147.62,157.0,122.6,134.04,1029887.3,2021-05-25
5,1621987200000,134.01,152.35,131.89,142.67,1080307.24,2021-05-26
6,1622073600000,142.53,145.79,129.65,132.12,684980.11,2021-05-27
7,1622160000000,132.13,132.94,110.08,115.65,832199.55,2021-05-28
8,1622246400000,115.65,119.76,105.6,110.75,500541.51,2021-05-29
9,1622332800000,110.77,118.97,104.4,111.9,456137.64,2021-05-30
10,1622419200000,111.87,115.36,105.15,114.65,496847.77,2021-05-31
11,1622505600000,114.65,117.11,106.47,107.58,418636.87,2021-06-01
12,1622592000000,107.58,113.06,101.97,108.01,806345.16,2021-06-02
13,1622678400000,107.89,136.62,105.2,124.54,1666717.82,2021-06-03
14,1622764800000,124.5,124.54,105.24,108.78,1329668.01,2021-06-04
15,1622851200000,108.71,116.26,100.0,104.55,755203.97,2021-06-05
16,1622937600000,104.5,110.0,102.39,104.49,512306.77,2021-06-06
17,1623024000000,104.42,106.73,88.88,91.13,819469.64,2021-06-07
18,1623110400000,91.14,94.37,76.72,81.31,1081773.46,2021-06-08
19,1623196800000,81.31,88.99,77.1,81.55,1226553.49,2021-06-09
20,1623283200000,81.55,83.69,65.35,66.57,2095644.84,2021-06-10
21,1623369600000,66.54,72.39,56.14,58.49,2119023.27,2021-06-11
22,1623456000000,58.4,67.66,52.92,61.08,2179939.38,2021-06-12
23,1623542400000,61.07,67.0,57.18,64.45,2035143.16,2021-06-13
24,1623628800000,64.44,70.81,61.88,66.69,1588608.47,2021-06-14
25,1623715200000,66.69,68.88,58.58,60.39,1801762.13,2021-06-15
26,1623801600000,60.32,60.41,54.72,55.34,1323822.44,2021-06-16
