time,open,high,low,close,vol,date
1594252800000,2.893,3.398,2.71,2.956,814828.589,2020-07-09
1594339200000,2.956,2.974,2.763,2.921,336121.948,2020-07-10
1594425600000,2.921,2.927,2.654,2.809,285697.148,2020-07-11
1594512000000,2.806,2.843,2.73,2.78,267451.597,2020-07-12
1594598400000,2.78,2.84,2.5,2.541,420242.131,2020-07-13
1594684800000,2.538,2.75,2.384,2.747,469580.081,2020-07-14
1594771200000,2.747,3.15,2.704,3.05,708397.187,2020-07-15
1594857600000,3.05,3.25,2.782,3.097,791153.526,2020-07-16
1594944000000,3.097,3.6,3.053,3.308,838226.636,2020-07-17
1595030400000,3.307,3.52,3.169,3.371,381798.329,2020-07-18
1595116800000,3.381,3.535,3.288,3.297,369647.946,2020-07-19
1595203200000,3.299,4.199,3.27,3.849,1475062.96,2020-07-20
1595289600000,3.84,4.029,3.341,3.479,737082.149,2020-07-21
1595376000000,3.479,3.79,3.351,3.479,393948.785,2020-07-22
1595462400000,3.479,3.62,3.1,3.35,420492.048,2020-07-23
1595548800000,3.346,3.627,3.235,3.337,543597.809,2020-07-24
1595635200000,3.337,3.721,3.296,3.541,347211.694,2020-07-25
1595721600000,3.542,3.565,3.0,3.155,658936.948,2020-07-26
1595808000000,3.154,3.22,2.67,2.869,958131.721,2020-07-27
1595894400000,2.869,3.48,2.869,3.372,869146.27,2020-07-28
1595980800000,3.372,3.386,3.07,3.273,542519.377,2020-07-29
1596067200000,3.273,3.683,3.265,3.547,825362.161,2020-07-30
1596153600000,3.547,3.965,3.486,3.952,971801.455,2020-07-31
1596240000000,3.951,4.111,3.577,3.793,1223189.479,2020-08-01
1596326400000,3.792,4.437,3.5,4.266,1298727.708,2020-08-02
1596412800000,4.266,4.387,3.89,4.148,877651.957,2020-08-03
1596499200000,4.148,4.563,4.136,4.47,1021141.217,2020-08-04
1596585600000,4.461,4.69,4.28,4.339,456892.4,2020-08-05
1596672000000,4.339,4.74,4.292,4.45,420306.831,2020-08-06
1596758400000,4.451,4.627,4.13,4.297,331415.652,2020-08-07
1596844800000,4.297,4.45,4.2,4.349,292458.027,2020-08-08
1596931200000,4.344,4.383,4.175,4.241,383272.29,2020-08-09
1597017600000,4.243,5.039,4.243,4.822,851456.172,2020-08-10
1597104000000,4.817,4.899,4.17,4.879,703164.114,2020-08-11
1597190400000,4.879,5.921,4.847,5.643,1561796.633,2020-08-12
1597276800000,5.644,6.0,4.736,5.072,1690119.639,2020-08-13
1597363200000,5.07,6.495,4.93,6.15,2240420.405,2020-08-14
1597449600000,6.146,7.46,5.9,6.859,3868282.053,2020-08-15
1597536000000,6.859,6.887,6.1,6.405,1016350.406,2020-08-16
1597622400000,6.398,6.875,6.072,6.177,1206308.714,2020-08-17
