,time,open,high,low,close,vol,date
0,1651536000000,6.94,7.13,6.69,6.85,1239669.15,2022-05-03
1,1651622400000,6.86,7.97,6.83,7.93,2536415.52,2022-05-04
2,1651708800000,7.93,8.11,6.96,7.34,2925514.8,2022-05-05
3,1651795200000,7.35,7.7,6.85,7.59,2686760.07,2022-05-06
4,1651881600000,7.59,7.65,6.97,7.18,2468567.96,2022-05-07
5,1651968000000,7.18,7.34,6.85,7.09,2402992.12,2022-05-08
6,1652054400000,7.1,7.22,5.9,5.95,5910358.919,2022-05-09
7,1652140800000,5.95,6.66,5.75,6.07,5405883.36,2022-05-10
8,1652227200000,6.08,6.22,4.65,4.91,9587421.08,2022-05-11
9,1652313600000,4.92,5.2,3.73,4.67,8726581.3,2022-05-12
10,1652400000000,4.67,5.47,4.6,5.13,4218652.85,2022-05-13
11,1652486400000,5.14,5.38,4.72,5.17,3157543.73,2022-05-14
12,1652572800000,5.18,5.47,4.98,5.46,2656164.5,2022-05-15
13,1652659200000,5.46,5.46,4.89,5.06,2815061.2,2022-05-16
14,1652745600000,5.06,5.51,5.04,5.47,3218048.3,2022-05-17
15,1652832000000,5.47,5.55,4.87,4.89,2512634.31,2022-05-18
16,1652918400000,4.9,5.35,4.73,5.19,3074014.69,2022-05-19
17,1653004800000,5.2,5.52,4.92,5.1,3301934.51,2022-05-20
18,1653091200000,5.1,5.38,4.98,5.24,1909543.26,2022-05-21
19,1653177600000,5.24,5.54,5.12,5.48,2259806.45,2022-05-22
20,1653264000000,5.49,6.08,5.36,5.62,4457774.11,2022-05-23
21,1653350400000,5.63,5.83,5.28,5.6,3734107.58,2022-05-24
22,1653436800000,5.6,5.8,5.38,5.62,3072355.39,2022-05-25
23,1653523200000,5.63,5.77,4.77,4.95,4505027.86,2022-05-26
24,1653609600000,4.95,5.09,4.59,4.69,5120258.03,2022-05-27
25,1653696000000,4.7,5.03,4.61,4.98,2470893.6,2022-05-28
26,1653782400000,4.99,5.03,4.77,4.95,2160832.05,2022-05-29
27,1653868800000,4.95,5.7,4.89,5.66,3675000.23,2022-05-30
28,1653955200000,5.66,5.88,5.54,5.7,3488946.0,2022-05-31
29,1654041600000,5.7,5.82,5.1,5.14,2830546.52,2022-06-01
30,1654128000000,5.14,5.34,5.04,5.3,2429713.61,2022-06-02
31,1654214400000,5.3,5.34,4.96,5.08,1457460.12,2022-06-03
32,1654300800000,5.08,5.18,4.94,5.13,1013048.94,2022-06-04
33,1654387200000,5.13,5.23,4.91,5.09,1087831.95,2022-06-05
34,1654473600000,5.1,5.42,5.09,5.37,1867925.83,2022-06-06
35,1654560000000,5.38,5.42,4.93,5.22,3231580.55,2022-06-07
36,1654646400000,5.22,5.33,5.03,5.09,2123447.57,2022-06-08
37,1654732800000,5.09,5.36,5.02,5.2,853487.87,2022-06-09
38,1654819200000,5.21,5.23,4.76,4.81,1581466.82,2022-06-10
39,1654905600000,4.82,4.97,4.33,4.39,2353190.48,2022-06-11
40,1654992000000,4.39,4.48,4.05,4.06,2323564.16,2022-06-12
41,1655078400000,4.07,4.14,3.45,3.66,6519155.239,2022-06-13
42,1655164800000,3.68,3.93,3.35,3.86,4168211.001,2022-06-14
43,1655251200000,3.87,4.43,3.39,4.42,6369871.19,2022-06-15
44,1655337600000,4.43,4.47,3.75,3.83,4771731.28,2022-06-16
45,1655424000000,3.84,4.01,3.79,3.93,1993568.78,2022-06-17
46,1655510400000,3.94,4.09,3.33,3.64,3885227.55,2022-06-18
47,1655596800000,3.65,4.27,3.49,4.19,3544123.62,2022-06-19
48,1655683200000,4.2,4.4,3.98,4.29,4592702.26,2022-06-20
49,1655769600000,4.3,5.21,4.22,4.77,5883772.19,2022-06-21
50,1655856000000,4.78,5.37,4.56,4.98,9486178.31,2022-06-22
51,1655942400000,4.99,5.69,4.96,5.62,6511782.97,2022-06-23
52,1656028800000,5.63,5.8,5.35,5.47,4699338.84,2022-06-24
53,1656115200000,5.47,5.77,5.24,5.62,2761812.5,2022-06-25
54,1656201600000,5.62,6.08,5.47,5.6,3795149.93,2022-06-26
55,1656288000000,5.6,5.93,5.27,5.33,3881305.15,2022-06-27
56,1656374400000,5.34,5.49,4.86,4.92,3338083.21,2022-06-28
57,1656460800000,4.93,5.26,4.78,5.11,4408158.23,2022-06-29
58,1656547200000,5.12,5.15,4.6,5.0,5100727.33,2022-06-30
59,1656633600000,5.01,5.13,4.74,4.86,3790068.99,2022-07-01
60,1656720000000,4.86,5.09,4.72,4.92,2773018.71,2022-07-02
61,1656806400000,4.92,4.96,4.72,4.91,1954557.14,2022-07-03
62,1656892800000,4.92,5.36,4.73,5.35,2282415.88,2022-07-04
63,1656979200000,5.35,5.45,5.01,5.3,3012580.5,2022-07-05
64,1657065600000,5.31,5.5,5.19,5.35,3384862.08,2022-07-06
65,1657152000000,5.36,5.83,5.29,5.73,2522250.62,2022-07-07
66,1657238400000,5.73,5.97,5.52,5.8,3246478.2,2022-07-08
67,1657324800000,5.8,6.62,5.8,6.46,3944641.16,2022-07-09
68,1657411200000,6.46,6.48,5.98,6.23,3500367.63,2022-07-10
69,1657497600000,6.24,6.28,5.23,5.57,5746929.26,2022-07-11
70,1657584000000,5.57,5.89,5.45,5.54,6679031.05,2022-07-12
71,1657670400000,5.54,6.27,5.24,6.12,6448203.92,2022-07-13
72,1657756800000,6.12,7.11,6.02,7.02,12068688.69,2022-07-14
73,1657843200000,7.02,7.26,6.72,6.78,4718959.43,2022-07-15
74,1657929600000,6.79,7.7,6.67,7.38,4888161.58,2022-07-16
75,1658016000000,7.38,7.48,6.89,6.94,2752228.05,2022-07-17
76,1658102400000,6.95,7.46,6.92,7.33,4645472.95,2022-07-18
77,1658188800000,7.33,7.76,7.21,7.35,6058507.79,2022-07-19
78,1658275200000,7.35,7.61,6.78,6.86,4550577.76,2022-07-20
79,1658361600000,6.87,7.29,6.67,7.23,3074675.99,2022-07-21
80,1658448000000,7.23,7.46,6.82,6.89,2877264.23,2022-07-22
81,1658534400000,6.89,7.21,6.63,6.97,2235643.93,2022-07-23
82,1658620800000,6.97,7.36,6.88,7.24,2525993.63,2022-07-24
83,1658707200000,7.25,7.53,6.81,7.04,6229298.83,2022-07-25
84,1658793600000,7.05,7.05,6.22,6.66,4654432.23,2022-07-26
85,1658880000000,6.66,8.2,6.5,8.03,5793578.3,2022-07-27
86,1658966400000,8.04,9.83,7.95,9.28,9994818.79,2022-07-28
87,1659052800000,9.28,9.41,8.61,9.08,5531524.94,2022-07-29
88,1659139200000,9.09,9.17,8.51,8.78,3750663.41,2022-07-30
89,1659225600000,8.78,9.15,8.29,8.32,3743212.8,2022-07-31
90,1659312000000,8.33,8.57,8.05,8.36,3186288.03,2022-08-01
91,1659398400000,8.36,8.68,7.81,8.25,5449833.97,2022-08-02
92,1659484800000,8.26,9.39,8.02,8.91,5385763.95,2022-08-03
93,1659571200000,8.91,9.12,8.51,8.82,3907337.17,2022-08-04
94,1659657600000,8.83,9.27,8.78,8.96,2609906.34,2022-08-05
95,1659744000000,8.97,9.15,8.73,8.77,1392030.35,2022-08-06
96,1659830400000,8.78,8.98,8.7,8.79,1069655.1,2022-08-07
97,1659916800000,8.79,9.28,8.73,8.79,2407847.58,2022-08-08
98,1660003200000,8.79,8.87,8.08,8.44,2765223.62,2022-08-09
99,1660089600000,8.44,9.44,8.08,9.22,3634726.46,2022-08-10
100,1660176000000,9.22,9.62,8.85,8.96,3138103.51,2022-08-11
101,1660262400000,8.96,9.25,8.74,9.21,1809218.5,2022-08-12
102,1660348800000,9.21,9.35,8.9,8.99,1945918.91,2022-08-13
103,1660435200000,8.99,9.62,8.75,8.87,3027701.99,2022-08-14
104,1660521600000,8.88,9.17,8.29,8.47,2949106.6,2022-08-15
