time,open,high,low,close,vol,date
1617235200000,190.7998,238.2033,180.0,185.6217,9489084.8,2021-04-01
1617321600000,185.5682,205.535,160.637,171.9372,5871429.95,2021-04-02
1617408000000,171.9372,181.3,162.4098,178.1755,3233013.68,2021-04-03
1617494400000,178.1755,193.8753,175.2589,182.7438,2827398.95,2021-04-04
1617580800000,182.8548,187.0685,171.0001,176.4686,1733545.24,2021-04-05
1617667200000,176.4975,178.9999,164.808,165.5486,1403949.62,2021-04-06
1617753600000,165.59,166.4399,135.5526,156.2777,4009234.83,2021-04-07
1617840000000,156.2742,158.84,146.352,154.0,1572359.8,2021-04-08
1617926400000,154.1304,175.95,152.873,172.1311,2372313.81,2021-04-09
1618012800000,172.1311,189.0,170.6444,174.561,2378730.3,2021-04-10
1618099200000,174.5585,184.4,172.8903,179.0979,1047898.06,2021-04-11
1618185600000,179.0789,181.5511,159.5075,167.8606,2102821.73,2021-04-12
1618272000000,167.8446,169.4261,157.7447,164.156,1309867.31,2021-04-13
1618358400000,164.1606,179.3,161.0,168.3169,2093355.51,2021-04-14
1618444800000,168.3156,175.4428,168.0,170.8753,1352342.93,2021-04-15
1618531200000,170.8753,195.6962,170.8,182.6147,4348644.93,2021-04-16
1618617600000,182.664,193.0,175.4762,180.9288,1850728.18,2021-04-17
1618704000000,180.9288,183.1181,130.0,156.3278,3139396.3,2021-04-18
1618790400000,156.2945,164.8186,149.6366,154.8014,1426196.0,2021-04-19
1618876800000,154.798,157.7945,145.5077,153.9017,1170217.1,2021-04-20
1618963200000,153.9301,159.0211,147.1111,147.7287,1129839.25,2021-04-21
1619049600000,147.7212,157.8923,144.4737,145.914,1524418.19,2021-04-22
1619136000000,145.9334,147.963,130.0,138.5799,2026141.93,2021-04-23
1619222400000,138.5559,139.38,131.1256,133.5535,1095487.16,2021-04-24
1619308800000,133.5811,136.88,131.66,134.04,551274.8269,2021-04-25
1619395200000,134.04,154.8,133.47,154.2,1313641.2279,2021-04-26
1619481600000,154.24,155.24,148.01,152.46,967946.1082,2021-04-27
1619568000000,152.46,156.0,146.37,150.93,892345.9807,2021-04-28
1619654400000,150.94,152.17,147.5,149.76,783542.3576,2021-04-29
1619740800000,149.75,165.0,149.67,163.92,1546255.823,2021-04-30
1619827200000,163.82,168.0,161.06,164.24,809703.2588,2021-05-01
1619913600000,164.21,166.75,156.29,162.46,757213.3806,2021-05-02
1620000000000,162.46,163.96,158.5,160.24,790718.2354,2021-05-03
1620086400000,160.24,160.49,135.1,140.8,1503435.5463,2021-05-04
1620172800000,140.82,154.86,139.56,152.53,1091315.1271,2021-05-05
1620259200000,152.46,165.63,149.69,153.59,1873546.7512,2021-05-06
1620345600000,153.63,155.23,146.82,150.33,933789.1635,2021-05-07
1620432000000,150.39,154.25,143.49,148.1,767341.4548,2021-05-08
1620518400000,148.1,149.55,140.73,146.5,880624.6058,2021-05-09
1620604800000,146.51,149.33,129.14,135.71,1155938.1738,2021-05-10
1620691200000,135.71,143.44,133.79,142.95,1014580.4486,2021-05-11
1620777600000,142.9,145.59,123.77,127.04,1373711.7437,2021-05-12
1620864000000,127.09,127.79,87.26,117.82,4298932.3103,2021-05-13
1620950400000,117.82,124.84,113.82,120.65,1843265.5462,2021-05-14
1621036800000,120.64,122.85,109.96,110.48,1520986.5139,2021-05-15
1621123200000,110.46,116.19,100.15,107.81,1753425.6965,2021-05-16
1621209600000,107.79,107.88,93.35,99.46,2141124.6066,2021-05-17
