time,open,high,low,close,vol,date
1699660800000,2.715,2.765,2.571,2.67,3632377.8,2023-11-11
1699747200000,2.669,2.94,2.57,2.868,6174954.2,2023-11-12
1699833600000,2.867,2.977,2.562,2.565,6985809.5,2023-11-13
1699920000000,2.565,2.703,2.433,2.608,5826915.7,2023-11-14
1700006400000,2.606,3.096,2.605,3.037,7277155.1,2023-11-15
1700092800000,3.038,3.33,2.842,2.874,17280750.9,2023-11-16
1700179200000,2.873,3.113,2.772,2.975,13716165.1,2023-11-17
1700265600000,2.974,2.983,2.734,2.979,5713579.7,2023-11-18
1700352000000,2.978,3.456,2.856,3.428,10663277.7,2023-11-19
1700438400000,3.431,3.736,3.305,3.477,13915734.2,2023-11-20
1700524800000,3.474,3.559,3.115,3.223,12722367.0,2023-11-21
1700611200000,3.225,3.813,3.217,3.422,17948167.4,2023-11-22
1700697600000,3.423,3.524,3.339,3.365,6433464.8,2023-11-23
1700784000000,3.367,3.661,3.351,3.601,6913823.9,2023-11-24
1700870400000,3.603,3.788,3.565,3.633,4359850.2,2023-11-25
1700956800000,3.634,3.648,3.372,3.437,3845822.4,2023-11-26
1701043200000,3.438,3.473,3.186,3.289,3914987.2,2023-11-27
1701129600000,3.289,3.43,3.208,3.406,3918727.2,2023-11-28
1701216000000,3.407,3.533,3.282,3.352,3602659.5,2023-11-29
1701302400000,3.349,3.392,3.269,3.308,2746165.8,2023-11-30
1701388800000,3.31,3.457,3.27,3.423,2804122.0,2023-12-01
1701475200000,3.423,3.707,3.41,3.646,5344115.9,2023-12-02
1701561600000,3.645,3.98,3.642,3.816,6650891.9,2023-12-03
1701648000000,3.816,3.925,3.53,3.739,5229074.0,2023-12-04
1701734400000,3.74,4.155,3.514,4.049,6721075.6,2023-12-05
1701820800000,4.048,4.057,3.624,3.658,5284961.0,2023-12-06
1701907200000,3.658,3.88,3.634,3.739,5341651.3,2023-12-07
1701993600000,3.738,3.877,3.707,3.847,3584451.0,2023-12-08
1702080000000,3.847,3.938,3.7,3.885,3962125.0,2023-12-09
1702166400000,3.884,4.47,3.862,4.39,12140670.9,2023-12-10
1702252800000,4.389,4.735,3.874,4.533,16557699.7,2023-12-11
1702339200000,4.534,4.951,4.125,4.23,10461563.5,2023-12-12
1702425600000,4.232,4.527,3.934,4.373,7488443.6,2023-12-13
1702512000000,4.374,4.4,4.04,4.324,4806184.4,2023-12-14
1702598400000,4.323,4.336,3.999,4.017,3482245.6,2023-12-15
1702684800000,4.019,4.206,3.964,4.058,2405012.2,2023-12-16
1702771200000,4.058,4.095,3.757,3.772,2274585.7,2023-12-17
1702857600000,3.772,3.812,3.41,3.704,6622758.5,2023-12-18
1702944000000,3.704,3.816,3.549,3.6,3756727.6,2023-12-19
1703030400000,3.597,3.845,3.585,3.72,3899116.6,2023-12-20
1703116800000,3.72,3.943,3.698,3.814,3612699.0,2023-12-21
1703203200000,3.814,4.222,3.814,4.214,6105740.8,2023-12-22
1703289600000,4.219,4.249,3.961,4.037,3928807.5,2023-12-23
1703376000000,4.037,4.237,3.97,4.085,3499478.0,2023-12-24
1703462400000,4.084,4.258,3.95,4.053,3561323.4,2023-12-25
1703548800000,4.053,4.101,3.621,3.856,5168654.1,2023-12-26
1703635200000,3.858,4.373,3.739,4.157,5174987.9,2023-12-27
1703721600000,4.156,4.451,4.022,4.046,6163860.8,2023-12-28
1703808000000,4.045,4.154,3.752,3.891,4030936.6,2023-12-29
1703894400000,3.891,3.972,3.784,3.856,1977994.1,2023-12-30
1703980800000,3.856,4.059,3.75,3.866,3548703.6,2023-12-31
1704067200000,3.865,4.097,3.851,4.083,1960645.4,2024-01-01
1704153600000,4.086,4.219,3.869,3.898,2873747.2,2024-01-02
1704240000000,3.894,3.972,3.872,3.962,323159.0,2024-01-03
