time,open,high,low,close,vol,date
1704067200000,8.203,8.63,8.061,8.595,5268802.23,2024-01-01
1704153600000,8.594,8.806,8.317,8.411,6792266.31,2024-01-02
1704240000000,8.408,8.575,6.5,7.626,14473959.94,2024-01-03
1704326400000,7.626,7.999,7.469,7.879,7500909.27,2024-01-04
1704412800000,7.879,7.954,7.178,7.45,7631254.61,2024-01-05
1704499200000,7.448,7.448,6.943,7.133,4644445.49,2024-01-06
1704585600000,7.132,7.327,6.817,6.899,4713975.33,2024-01-07
1704672000000,6.899,7.506,6.51,7.483,8524497.42,2024-01-08
1704758400000,7.483,7.527,6.908,7.129,6989170.94,2024-01-09
1704844800000,7.128,8.091,6.8,7.991,9967541.16,2024-01-10
1704931200000,7.99,8.58,7.85,8.148,12836225.08,2024-01-11
1705017600000,8.147,8.212,7.31,7.567,8688542.18,2024-01-12
1705104000000,7.566,7.753,7.37,7.617,4481440.54,2024-01-13
1705190400000,7.618,7.699,7.316,7.319,3486216.3,2024-01-14
1705276800000,7.319,7.692,7.308,7.509,4209668.41,2024-01-15
1705363200000,7.509,7.688,7.339,7.493,4432209.01,2024-01-16
1705449600000,7.492,7.597,7.255,7.35,4237892.42,2024-01-17
1705536000000,7.349,7.39,6.82,7.017,6630266.6,2024-01-18
1705622400000,7.018,7.052,6.571,6.894,6152238.35,2024-01-19
1705708800000,6.894,6.951,6.778,6.913,3231059.21,2024-01-20
1705795200000,6.913,6.977,6.801,6.817,2659737.77,2024-01-21
1705881600000,6.815,6.848,6.293,6.341,8335532.94,2024-01-22
1705968000000,6.342,6.455,5.979,6.361,7491685.08,2024-01-23
1706054400000,6.362,6.542,6.26,6.462,4831265.54,2024-01-24
1706140800000,6.461,6.579,6.346,6.438,3968963.16,2024-01-25
1706227200000,6.438,6.73,6.361,6.672,5226941.0,2024-01-26
1706313600000,6.671,6.753,6.53,6.669,3827612.45,2024-01-27
1706400000000,6.669,6.875,6.567,6.872,5140566.57,2024-01-28
1706486400000,6.871,7.298,6.705,7.032,9464149.78,2024-01-29
1706572800000,7.031,7.087,6.822,6.836,5806026.21,2024-01-30
1706659200000,6.838,6.888,6.584,6.654,5331313.42,2024-01-31
1706745600000,6.653,6.816,6.53,6.791,3801576.85,2024-02-01
1706832000000,6.791,7.028,6.763,6.947,3879893.39,2024-02-02
1706918400000,6.947,7.01,6.813,6.825,2228612.1,2024-02-03
1707004800000,6.826,6.826,6.647,6.666,1847358.83,2024-02-04
1707091200000,6.666,6.976,6.592,6.737,4053934.37,2024-02-05
1707177600000,6.737,6.832,6.639,6.807,3262058.56,2024-02-06
1707264000000,6.806,6.966,6.671,6.941,3978510.79,2024-02-07
1707350400000,6.941,7.11,6.87,7.013,5636725.94,2024-02-08
1707436800000,7.014,7.329,6.96,7.196,6703902.0,2024-02-09
1707523200000,7.197,7.29,7.059,7.2,3362657.29,2024-02-10
1707609600000,7.2,7.342,7.077,7.099,4140070.61,2024-02-11
1707696000000,7.099,7.377,6.978,7.34,6638724.11,2024-02-12
1707782400000,7.34,7.45,7.111,7.353,5806068.65,2024-02-13
1707868800000,7.354,7.71,7.273,7.649,6998063.16,2024-02-14
1707955200000,7.648,7.95,7.526,7.781,8076847.34,2024-02-15
1708041600000,7.781,7.868,7.537,7.647,5128123.74,2024-02-16
1708128000000,7.647,7.709,7.34,7.704,3946834.47,2024-02-17
1708214400000,7.704,7.92,7.676,7.86,4114553.53,2024-02-18
1708300800000,7.86,8.148,7.651,8.029,8186553.0,2024-02-19
1708387200000,8.029,8.117,7.399,7.731,9552318.01,2024-02-20
1708473600000,7.731,7.732,7.225,7.466,6514766.28,2024-02-21
1708560000000,7.466,7.687,7.274,7.48,5384307.43,2024-02-22
1708646400000,7.481,7.535,7.469,7.497,174250.18,2024-02-23
