time,open,high,low,close,vol,date
1704067200000,2281.87,2352.37,2265.24,2352.04,216702.6914,2024-01-01
1704153600000,2352.05,2431.3,2341.0,2355.34,458041.6642,2024-01-02
1704240000000,2355.35,2385.45,2100.0,2209.72,798729.4869,2024-01-03
1704326400000,2209.72,2294.69,2201.91,2267.11,448844.055,2024-01-04
1704412800000,2267.11,2277.21,2206.17,2268.78,405568.0006,2024-01-05
1704499200000,2268.78,2270.0,2216.4,2240.78,194067.8656,2024-01-06
1704585600000,2240.77,2258.01,2203.46,2221.42,207138.6927,2024-01-07
1704672000000,2221.42,2358.2,2166.38,2330.44,539407.5547,2024-01-08
1704758400000,2330.43,2371.72,2226.78,2344.29,551454.9931,2024-01-09
1704844800000,2344.3,2643.1,2339.59,2584.38,1038388.666,2024-01-10
1704931200000,2584.37,2689.39,2566.01,2618.01,838712.2577,2024-01-11
1705017600000,2618.01,2717.32,2458.0,2522.54,887457.7627,2024-01-12
1705104000000,2522.55,2590.0,2497.5,2578.19,422061.232,2024-01-13
1705190400000,2578.18,2578.69,2470.0,2472.87,306207.7463,2024-01-14
1705276800000,2472.87,2553.82,2470.92,2511.78,315247.8819,2024-01-15
1705363200000,2511.79,2614.43,2500.05,2587.4,381077.6247,2024-01-16
1705449600000,2587.41,2592.97,2506.75,2530.19,366281.3477,2024-01-17
1705536000000,2530.2,2550.0,2428.56,2470.81,452090.1074,2024-01-18
1705622400000,2470.81,2504.2,2415.2,2492.0,424209.0029,2024-01-19
1705708800000,2491.99,2492.0,2454.2,2472.01,136620.9577,2024-01-20
1705795200000,2472.02,2482.18,2452.13,2457.05,122572.1687,2024-01-21
1705881600000,2457.06,2466.1,2303.59,2314.2,526337.6492,2024-01-22
1705968000000,2314.19,2352.23,2168.07,2242.6,700105.3314,2024-01-23
1706054400000,2242.6,2264.6,2196.12,2235.02,359851.1496,2024-01-24
1706140800000,2235.02,2242.89,2171.3,2218.64,330426.6061,2024-01-25
1706227200000,2218.64,2282.36,2195.84,2267.68,363566.4255,2024-01-26
1706313600000,2267.67,2282.94,2251.4,2267.94,145109.3836,2024-01-27
1706400000000,2267.94,2308.24,2239.89,2256.9,209326.9087,2024-01-28
1706486400000,2256.9,2322.34,2233.8,2317.6,305528.0776,2024-01-29
1706572800000,2317.61,2391.98,2297.0,2343.01,372879.5791,2024-01-30
1706659200000,2343.0,2351.6,2263.57,2283.14,397116.1859,2024-01-31
1706745600000,2283.15,2311.72,2240.0,2304.28,310997.4538,2024-02-01
1706832000000,2304.28,2324.74,2281.94,2309.06,238230.511,2024-02-02
1706918400000,2309.07,2329.98,2292.75,2296.49,133232.845,2024-02-03
1707004800000,2296.5,2311.0,2266.0,2289.79,171232.0444,2024-02-04
1707091200000,2289.79,2338.41,2269.11,2301.83,236610.412,2024-02-05
1707177600000,2301.84,2392.4,2299.0,2372.64,368942.7498,2024-02-06
1707264000000,2372.63,2444.44,2354.0,2425.1,342791.7013,2024-02-07
1707350400000,2425.09,2463.15,2411.01,2419.55,338040.0539,2024-02-08
1707436800000,2419.56,2525.0,2419.16,2486.56,492384.385,2024-02-09
1707523200000,2486.56,2516.45,2471.57,2500.24,185099.59,2024-02-10
1707609600000,2500.24,2539.63,2493.45,2507.21,219975.1471,2024-02-11
1707696000000,2507.22,2665.58,2472.0,2659.99,449501.776,2024-02-12
1707782400000,2659.99,2686.12,2590.0,2639.99,502447.745,2024-02-13
1707868800000,2639.99,2786.0,2618.4,2774.81,461670.6944,2024-02-14
1707955200000,2774.8,2867.65,2759.25,2822.59,481689.1874,2024-02-15
1708041600000,2822.58,2857.4,2740.0,2801.8,378070.8037,2024-02-16
1708128000000,2801.81,2804.21,2719.01,2785.93,243302.8759,2024-02-17
1708214400000,2785.92,2895.0,2764.25,2881.2,367987.8833,2024-02-18
1708300800000,2881.2,2984.52,2856.93,2944.8,446451.0401,2024-02-19
1708387200000,2944.8,3033.09,2874.56,3014.81,634681.7471,2024-02-20
1708473600000,3014.81,3017.15,2868.0,2967.9,595955.0033,2024-02-21
1708560000000,2967.91,3036.02,2906.51,2971.4,563525.9936,2024-02-22
1708646400000,2971.4,2993.8,2970.2,2984.88,14961.4628,2024-02-23
