time,open,high,low,close,vol,date
1672531200000,3.009,3.15,2.992,3.108,2700516.95,2023-01-01
1672617600000,3.109,3.221,3.033,3.151,4409729.66,2023-01-02
1672704000000,3.152,3.196,3.027,3.091,4271044.93,2023-01-03
1672790400000,3.092,3.528,3.087,3.357,10030313.69,2023-01-04
1672876800000,3.356,3.362,3.225,3.287,3988585.31,2023-01-05
1672963200000,3.287,3.356,3.203,3.339,4335969.32,2023-01-06
1673049600000,3.34,3.4,3.277,3.299,3420635.05,2023-01-07
1673136000000,3.3,3.464,3.272,3.447,5269297.26,2023-01-08
1673222400000,3.446,3.95,3.432,3.774,12472653.86,2023-01-09
1673308800000,3.774,3.862,3.652,3.757,6856622.59,2023-01-10
1673395200000,3.758,3.782,3.534,3.732,7933696.74,2023-01-11
1673481600000,3.733,3.876,3.6,3.852,9736116.56,2023-01-12
1673568000000,3.852,4.111,3.737,4.018,9448750.45,2023-01-13
1673654400000,4.018,4.87,3.953,4.804,18312585.31,2023-01-14
1673740800000,4.805,4.99,4.452,4.699,16216645.18,2023-01-15
1673827200000,4.7,4.86,4.415,4.57,9266421.05,2023-01-16
1673913600000,4.571,4.89,4.43,4.626,7241242.2,2023-01-17
1674000000000,4.627,4.74,4.211,4.252,7195617.58,2023-01-18
1674086400000,4.253,4.436,4.246,4.404,3714514.39,2023-01-19
1674172800000,4.404,4.783,4.336,4.741,4978970.3,2023-01-20
1674259200000,4.742,5.199,4.685,4.95,11658933.38,2023-01-21
1674345600000,4.951,5.788,4.9,5.427,13549475.74,2023-01-22
1674432000000,5.424,5.776,5.153,5.422,13346272.08,2023-01-23
1674518400000,5.422,5.556,4.846,4.994,7465263.53,2023-01-24
1674604800000,4.995,5.7,4.808,5.45,10232718.98,2023-01-25
1674691200000,5.451,5.664,5.171,5.433,7983357.84,2023-01-26
1674777600000,5.433,5.485,5.177,5.391,4758740.04,2023-01-27
1674864000000,5.39,5.614,5.156,5.274,5877074.07,2023-01-28
1674950400000,5.272,5.568,5.254,5.477,5184878.51,2023-01-29
1675036800000,5.478,5.531,4.85,5.098,6244352.46,2023-01-30
1675123200000,5.097,5.44,5.004,5.229,5402256.35,2023-01-31
1675209600000,5.229,5.797,5.042,5.687,9650872.34,2023-02-01
1675296000000,5.686,5.87,5.443,5.473,12874190.74,2023-02-02
1675382400000,5.476,5.791,5.411,5.675,7387094.44,2023-02-03
1675468800000,5.675,5.725,5.48,5.521,4167757.78,2023-02-04
1675555200000,5.521,5.55,5.16,5.299,6156378.87,2023-02-05
1675641600000,5.3,5.427,5.072,5.125,5494492.53,2023-02-06
1675728000000,5.126,5.565,5.118,5.537,6702156.38,2023-02-07
1675814400000,5.537,5.718,5.258,5.442,9590936.38,2023-02-08
1675900800000,5.445,5.519,4.61,4.789,8119066.38,2023-02-09
1675987200000,4.79,5.009,4.718,4.848,7554898.11,2023-02-10
1676073600000,4.847,5.121,4.836,5.102,5809550.82,2023-02-11
1676160000000,5.103,5.157,4.85,4.919,3705643.63,2023-02-12
1676246400000,4.919,4.967,4.684,4.867,4878274.92,2023-02-13
1676332800000,4.868,5.104,4.75,5.091,4732835.51,2023-02-14
1676419200000,5.091,5.496,5.005,5.483,6367931.42,2023-02-15
1676505600000,5.482,6.0,5.351,5.403,12388250.64,2023-02-16
1676592000000,5.404,7.9,5.397,7.609,48200213.76,2023-02-17
1676678400000,7.599,7.979,7.186,7.52,25407230.11,2023-02-18
1676764800000,7.52,9.5,7.52,8.466,48692958.43,2023-02-19
1676851200000,8.467,8.719,8.066,8.526,25086242.33,2023-02-20
1676937600000,8.529,8.686,7.67,8.182,20341748.1,2023-02-21
1677024000000,8.184,9.183,7.513,8.031,38632546.13,2023-02-22
1677110400000,8.029,8.276,7.625,7.846,15135969.55,2023-02-23
1677196800000,7.847,8.052,6.605,6.853,20489714.28,2023-02-24
1677283200000,6.852,6.997,6.35,6.706,13216949.99,2023-02-25
1677369600000,6.709,7.0,6.637,6.906,8533404.12,2023-02-26
1677456000000,6.905,7.274,6.668,6.851,8732600.21,2023-02-27
1677542400000,6.853,6.881,6.309,6.484,7950118.57,2023-02-28
1677628800000,6.484,7.296,6.408,7.251,13169882.19,2023-03-01
1677715200000,7.251,7.365,6.642,6.905,8599511.62,2023-03-02
1677801600000,6.905,6.975,5.925,6.259,14201717.09,2023-03-03
1677888000000,6.26,6.325,5.684,5.915,6310103.1,2023-03-04
1677974400000,5.916,6.281,5.876,6.139,7033919.63,2023-03-05
1678060800000,6.138,6.245,6.005,6.098,5514872.8,2023-03-06
1678147200000,6.098,6.197,5.764,5.969,8253372.68,2023-03-07
1678233600000,5.973,6.106,5.597,5.782,8685413.12,2023-03-08
1678320000000,5.781,6.2,5.284,5.509,16702539.55,2023-03-09
1678406400000,5.51,5.528,5.103,5.313,14831813.59,2023-03-10
1678492800000,5.314,5.512,4.654,4.95,18588316.41,2023-03-11
1678579200000,4.951,5.77,4.804,5.714,13776947.63,2023-03-12
1678665600000,5.713,6.584,5.596,6.376,33496210.15,2023-03-13
1678752000000,6.377,7.583,6.126,6.751,26282981.43,2023-03-14
1678838400000,6.752,7.043,5.328,5.595,31566715.18,2023-03-15
1678924800000,5.596,5.93,5.503,5.804,17795138.33,2023-03-16
1679011200000,5.804,6.485,5.7,6.39,18362358.25,2023-03-17
1679097600000,6.389,6.555,5.824,5.874,14729227.96,2023-03-18
1679184000000,5.875,6.52,5.85,6.281,10726790.57,2023-03-19
1679270400000,6.281,6.454,5.656,5.72,14317737.14,2023-03-20
1679356800000,5.719,6.093,5.611,5.923,11385930.48,2023-03-21
1679443200000,5.924,5.979,5.308,5.651,13939358.47,2023-03-22
1679529600000,5.649,5.972,5.608,5.925,7736964.07,2023-03-23
1679616000000,5.924,6.06,5.443,5.554,10831132.88,2023-03-24
1679702400000,5.554,5.628,5.255,5.378,5732394.01,2023-03-25
1679788800000,5.378,5.745,5.351,5.681,4560386.24,2023-03-26
1679875200000,5.681,5.7,5.199,5.344,7010858.59,2023-03-27
1679961600000,5.345,5.633,5.265,5.555,5840062.52,2023-03-28
1680048000000,5.556,5.828,5.54,5.732,6540897.82,2023-03-29
