time,open,high,low,close,vol,date
1704067200000,14.942,15.58,14.81,15.548,3173937.89,2024-01-01
1704153600000,15.547,16.063,15.017,15.166,5675020.93,2024-01-02
1704240000000,15.165,15.578,12.2,14.148,10147635.17,2024-01-03
1704326400000,14.148,14.777,13.975,14.526,4365827.16,2024-01-04
1704412800000,14.53,14.655,13.705,14.091,6076419.59,2024-01-05
1704499200000,14.092,14.098,13.18,13.436,3565461.87,2024-01-06
1704585600000,13.435,13.741,13.0,13.151,3045099.87,2024-01-07
1704672000000,13.155,14.402,12.527,14.139,6343630.56,2024-01-08
1704758400000,14.143,14.25,13.242,13.716,6089402.93,2024-01-09
1704844800000,13.716,15.363,13.563,15.072,6108662.9,2024-01-10
1704931200000,15.073,15.695,14.597,15.022,5971021.52,2024-01-11
1705017600000,15.021,15.304,13.59,14.151,5199803.58,2024-01-12
1705104000000,14.155,14.43,13.788,14.345,2403223.09,2024-01-13
1705190400000,14.345,15.434,14.267,14.755,6981289.71,2024-01-14
1705276800000,14.755,16.018,14.75,15.185,7120605.92,2024-01-15
1705363200000,15.185,15.365,14.739,15.271,3995089.65,2024-01-16
1705449600000,15.267,16.395,15.267,15.761,8906227.12,2024-01-17
1705536000000,15.761,15.773,14.189,14.658,6730412.48,2024-01-18
1705622400000,14.658,16.415,14.461,16.118,9958120.37,2024-01-19
1705708800000,16.118,16.61,15.624,15.781,8343648.47,2024-01-20
1705795200000,15.781,15.912,15.365,15.396,3466755.98,2024-01-21
1705881600000,15.393,15.974,14.507,14.598,8999991.39,2024-01-22
1705968000000,14.597,14.886,13.561,14.3,7634724.2,2024-01-23
1706054400000,14.298,14.442,13.911,14.243,4902671.9,2024-01-24
1706140800000,14.242,14.261,13.506,13.744,3983863.76,2024-01-25
1706227200000,13.744,14.3,13.637,14.187,4124078.3,2024-01-26
1706313600000,14.188,14.4,14.091,14.345,2101656.52,2024-01-27
1706400000000,14.341,14.7,14.201,14.48,3924457.9,2024-01-28
1706486400000,14.479,15.081,14.265,15.004,5591006.51,2024-01-29
1706572800000,15.004,15.805,14.895,15.475,6613663.41,2024-01-30
1706659200000,15.474,16.06,15.083,15.429,9675848.46,2024-01-31
1706745600000,15.427,17.382,15.147,17.19,15982416.79,2024-02-01
1706832000000,17.192,18.88,17.132,17.828,18593885.47,2024-02-02
1706918400000,17.827,18.148,17.502,17.658,7618053.39,2024-02-03
1707004800000,17.661,18.711,17.532,18.153,7542592.91,2024-02-04
1707091200000,18.154,19.794,17.806,19.164,11701737.55,2024-02-05
1707177600000,19.163,19.333,18.21,18.287,7718020.78,2024-02-06
1707264000000,18.287,19.077,18.021,18.817,6288753.44,2024-02-07
1707350400000,18.818,19.271,17.969,18.212,6386966.04,2024-02-08
1707436800000,18.209,18.625,17.973,18.47,5692887.07,2024-02-09
1707523200000,18.47,19.17,17.986,19.084,4237108.87,2024-02-10
1707609600000,19.083,20.676,18.829,20.146,8729373.41,2024-02-11
1707696000000,20.147,20.856,19.751,20.465,9061699.87,2024-02-12
1707782400000,20.467,20.592,19.45,19.87,6228394.6,2024-02-13
1707868800000,19.869,20.43,19.702,20.24,5075660.98,2024-02-14
1707955200000,20.24,20.524,19.65,19.932,4869032.92,2024-02-15
1708041600000,19.931,20.31,19.116,19.551,4600202.39,2024-02-16
1708128000000,19.555,20.273,19.218,20.032,3715998.41,2024-02-17
1708214400000,20.031,20.373,19.752,20.119,2893117.13,2024-02-18
1708300800000,20.12,20.245,19.647,19.832,4131134.93,2024-02-19
1708387200000,19.832,19.883,18.378,19.281,5699014.63,2024-02-20
1708473600000,19.281,19.287,18.0,18.594,4953060.58,2024-02-21
1708560000000,18.594,19.014,18.078,18.121,4209962.51,2024-02-22
1708646400000,18.12,18.284,18.113,18.234,193490.13,2024-02-23
