time,open,high,low,close,vol,date
1672531200000,70.14,71.55,68.91,70.91,497824.424,2023-01-01
1672617600000,70.92,77.96,70.0,74.74,1056995.281,2023-01-02
1672704000000,74.75,76.52,73.62,75.57,725798.101,2023-01-03
1672790400000,75.57,77.99,74.32,75.46,773197.793,2023-01-04
1672876800000,75.46,76.27,73.53,74.25,562086.168,2023-01-05
1672963200000,74.25,76.58,72.42,75.91,797819.975,2023-01-06
1673049600000,75.91,76.87,75.47,76.4,388687.641,2023-01-07
1673136000000,76.4,78.98,75.08,78.68,626879.182,2023-01-08
1673222400000,78.67,83.61,78.09,81.62,1179300.917,2023-01-09
1673308800000,81.61,82.85,79.43,80.83,847925.336,2023-01-10
1673395200000,80.82,85.0,79.88,84.08,968676.069,2023-01-11
1673481600000,84.08,87.7,81.0,86.09,1427276.097,2023-01-12
1673568000000,86.09,87.99,83.59,86.23,891288.557,2023-01-13
1673654400000,86.24,91.23,85.92,87.84,1747194.881,2023-01-14
1673740800000,87.84,88.68,85.21,87.37,586627.267,2023-01-15
1673827200000,87.37,89.16,83.91,85.91,750074.107,2023-01-16
1673913600000,85.94,89.39,84.52,87.02,740669.448,2023-01-17
1674000000000,87.04,88.4,82.11,82.62,935842.004,2023-01-18
1674086400000,82.62,84.57,81.67,84.21,484324.341,2023-01-19
1674172800000,84.21,91.42,83.0,90.28,757424.447,2023-01-20
1674259200000,90.28,92.1,87.57,87.91,720620.997,2023-01-21
1674345600000,87.91,90.05,86.07,87.58,501770.041,2023-01-22
1674432000000,87.58,93.2,87.51,89.9,691207.974,2023-01-23
1674518400000,89.91,91.45,86.0,87.19,499687.344,2023-01-24
1674604800000,87.19,91.93,85.53,89.38,529309.147,2023-01-25
1674691200000,89.38,89.96,86.82,87.52,475990.334,2023-01-26
1674777600000,87.51,89.23,85.81,88.89,418850.126,2023-01-27
1674864000000,88.89,89.96,86.96,89.67,392046.681,2023-01-28
1674950400000,89.66,97.77,89.65,94.84,1268331.01,2023-01-29
1675036800000,94.86,96.06,88.3,91.37,987138.227,2023-01-30
1675123200000,91.36,96.28,91.31,94.09,1045907.002,2023-01-31
1675209600000,94.09,102.53,93.73,100.33,1324424.131,2023-02-01
1675296000000,100.32,102.34,97.92,98.64,730534.055,2023-02-02
1675382400000,98.64,100.76,97.48,99.86,568938.087,2023-02-03
1675468800000,99.86,101.36,98.23,98.51,357081.561,2023-02-04
1675555200000,98.51,98.89,94.86,96.63,417682.275,2023-02-05
1675641600000,96.65,97.96,94.81,95.93,371415.943,2023-02-06
1675728000000,95.92,101.58,95.89,100.86,672704.474,2023-02-07
1675814400000,100.85,102.41,96.86,99.22,559839.764,2023-02-08
1675900800000,99.2,99.49,89.78,92.05,930317.558,2023-02-09
1675987200000,92.06,94.17,90.99,93.34,641293.685,2023-02-10
1676073600000,93.32,94.83,92.63,94.28,359543.176,2023-02-11
1676160000000,94.29,94.57,90.88,92.51,306598.202,2023-02-12
1676246400000,92.5,95.0,88.16,91.05,740201.598,2023-02-13
1676332800000,91.05,95.96,90.32,95.82,622092.631,2023-02-14
1676419200000,95.82,103.28,95.04,102.82,764436.261,2023-02-15
1676505600000,102.83,105.71,98.48,98.55,687509.194,2023-02-16
1676592000000,98.56,101.7,98.19,100.12,569585.278,2023-02-17
1676678400000,100.12,101.94,98.93,99.71,434788.196,2023-02-18
1676764800000,99.71,101.5,96.72,97.43,433963.156,2023-02-19
1676851200000,97.43,98.72,94.39,95.9,935281.523,2023-02-20
1676937600000,95.9,96.81,91.42,93.8,739676.014,2023-02-21
1677024000000,93.81,95.56,91.57,95.28,693131.993,2023-02-22
1677110400000,95.26,96.28,93.31,94.59,474230.846,2023-02-23
1677196800000,94.6,95.28,90.0,91.55,501375.88,2023-02-24
1677283200000,91.56,93.51,90.34,93.15,426347.651,2023-02-25
1677369600000,93.14,95.54,92.77,95.27,343656.079,2023-02-26
1677456000000,95.26,96.09,92.4,94.07,390505.03,2023-02-27
1677542400000,94.07,96.02,93.02,93.8,380334.634,2023-02-28
1677628800000,93.79,98.37,93.56,97.78,578624.04,2023-03-01
1677715200000,97.77,98.33,93.89,95.39,531837.148,2023-03-02
1677801600000,95.39,95.52,85.3,90.56,932908.772,2023-03-03
1677888000000,90.56,90.85,87.4,89.34,347999.151,2023-03-04
1677974400000,89.34,91.78,89.18,89.93,358378.991,2023-03-05
1678060800000,89.93,90.63,86.4,87.36,628899.913,2023-03-06
1678147200000,87.35,88.95,84.0,86.29,642884.79,2023-03-07
1678233600000,86.3,86.71,81.3,82.76,625642.83,2023-03-08
1678320000000,82.75,84.96,75.0,76.68,1098081.742,2023-03-09
1678406400000,76.69,76.85,67.97,71.37,1958666.309,2023-03-10
1678492800000,71.39,73.83,65.0,69.21,1897147.773,2023-03-11
1678579200000,69.21,76.42,67.39,76.26,1393380.049,2023-03-12
1678665600000,76.25,83.19,74.0,81.46,1843523.521,2023-03-13
1678752000000,81.45,88.24,79.17,83.94,1368971.071,2023-03-14
1678838400000,83.92,85.44,75.0,76.43,1324587.202,2023-03-15
1678924800000,76.43,79.87,75.58,78.86,792504.712,2023-03-16
1679011200000,78.85,85.57,78.16,85.51,935169.321,2023-03-17
1679097600000,85.51,87.92,81.88,83.02,990444.094,2023-03-18
1679184000000,83.01,86.39,82.11,83.98,612655.582,2023-03-19
1679270400000,83.99,84.3,77.72,78.05,943193.308,2023-03-20
1679356800000,78.04,83.48,76.71,82.48,906639.731,2023-03-21
1679443200000,82.48,88.31,79.0,87.27,1760098.981,2023-03-22
1679529600000,87.25,94.54,85.58,93.61,1868065.227,2023-03-23
1679616000000,93.61,95.98,89.07,93.58,1325987.089,2023-03-24
1679702400000,93.58,94.31,90.01,91.5,684739.493,2023-03-25
1679788800000,91.49,94.81,90.54,93.32,588285.448,2023-03-26
1679875200000,93.32,94.1,87.66,89.23,764069.755,2023-03-27
1679961600000,89.24,89.59,85.56,89.13,881860.674,2023-03-28
1680048000000,89.13,93.0,88.93,91.31,708985.063,2023-03-29
1680134400000,91.31,93.34,86.66,89.06,751300.11,2023-03-30
1680220800000,89.06,90.27,87.23,89.57,489786.451,2023-03-31
1680307200000,89.56,94.32,89.34,92.57,687331.248,2023-04-01
1680393600000,92.57,94.58,90.36,92.77,641228.631,2023-04-02
1680480000000,92.77,95.9,89.51,92.97,909253.989,2023-04-03
1680566400000,92.97,94.12,91.57,92.58,505371.32,2023-04-04
1680652800000,92.57,95.05,91.11,92.64,690226.2,2023-04-05
1680739200000,92.63,92.65,89.82,90.97,385392.357,2023-04-06
1680825600000,90.97,91.48,89.03,90.6,301548.406,2023-04-07
1680912000000,90.6,91.44,89.24,89.91,199093.068,2023-04-08
1680998400000,89.91,91.03,89.13,90.58,253822.749,2023-04-09
1681084800000,90.56,94.47,89.84,93.78,522079.986,2023-04-10
1681171200000,93.78,97.0,93.15,94.22,759225.859,2023-04-11
1681257600000,94.22,94.66,90.87,92.06,713535.198,2023-04-12
1681344000000,92.07,94.54,91.66,94.17,607464.042,2023-04-13
1681430400000,94.18,99.27,93.66,96.33,1044641.036,2023-04-14
1681516800000,96.31,97.32,94.71,96.68,343222.287,2023-04-15
1681603200000,96.69,102.18,95.1,100.01,902441.243,2023-04-16
1681689600000,100.0,100.3,97.32,98.84,692952.157,2023-04-17
1681776000000,98.88,103.44,97.6,101.95,817576.045,2023-04-18
1681862400000,101.93,101.93,87.0,90.47,1258566.956,2023-04-19
1681948800000,90.46,92.4,87.08,90.22,923591.763,2023-04-20
1682035200000,90.22,90.89,84.2,85.32,811762.122,2023-04-21
1682121600000,85.32,87.15,84.75,87.0,413059.798,2023-04-22
